,index,DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
62,23662,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",1p32.3,1,55039974,PCSK9,PCSK9,,,255738,,,rs11591147-T,rs11591147,0,11591147.0,missense_variant,0.0,0.016,2e-25,24.69897000433602,,0.282,[0.23-0.33] unit decrease,Affymetrix [7947838] (imputed),N
235,23854,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",11p15.4,11,5679844,"TRIM5, TRIM22",TRIM5,,,85363,,,rs11601507-A,rs11601507,0,11601507.0,missense_variant,0.0,0.0747,2e-12,11.698970004336019,,0.0838,[0.06-0.107] unit increase,NR [8041861] (imputed),N
233,23605,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",11p15.4,11,5679844,"TRIM5, TRIM22",TRIM5,,,85363,,,rs11601507-A,rs11601507,0,11601507.0,missense_variant,0.0,0.075,2e-12,11.698970004336019,,0.084,[0.06-0.108] unit increase,Affymetrix [7947838] (imputed),N
217,23990,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,11p15.4,11,5679844,"TRIM5, TRIM22",TRIM5,,,85363,,,rs11601507-A,rs11601507,0,11601507.0,missense_variant,0.0,0.0739,6e-13,12.221848749616356,,0.0782,[0.057-0.099] unit increase,Affymetrix [at least 7947838] (imputed),N
360,21015,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,19p13.2,19,8364439,"ANGPTL4, RAB11B-AS1",ANGPTL4,,,51129,,,rs116843064-A,rs116843064,0,116843064.0,missense_variant,0.0,0.0202,4e-10,9.397940008672037,,0.1402,[0.096-0.184] unit decrease,Affymetrix [at least 7947838] (imputed),N
266,23926,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",19p13.2,19,8364439,"ANGPTL4, RAB11B-AS1",ANGPTL4,,,51129,,,rs116843064-A,rs116843064,0,116843064.0,missense_variant,0.0,0.0197,1.0000000000000001e-11,11.0,,0.1609,[0.11-0.21] unit decrease,NR [8041861] (imputed),N
265,23580,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",19p13.2,19,8364439,"ANGPTL4, RAB11B-AS1",ANGPTL4,,,51129,,,rs116843064-A,rs116843064,0,116843064.0,missense_variant,0.0,0.02,1.0000000000000001e-11,11.0,,0.161,[0.11-0.21] unit decrease,Affymetrix [7947838] (imputed),N
104,23641,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",12q24.31,12,120978847,"HNF1A, HNF1A-AS1",HNF1A,,,6927,,,rs1169288-A,rs1169288,0,1169288.0,missense_variant,0.0,0.67,8e-19,18.096910013008056,,0.054000000000000006,[0.042-0.066] unit decrease,Affymetrix [7947838] (imputed),N
105,21046,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,12q24.31,12,120978847,"HNF1A, HNF1A-AS1",HNF1A,,,6927,,,rs1169288-A,rs1169288,0,1169288.0,missense_variant,0.0,0.6725,1e-18,18.0,,0.049,[0.038-0.06] unit decrease,Affymetrix [at least 7947838] (imputed),N
371,23705,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",1p13.2,1,115210861,intergenic,LOC105378916 - LOC105378917,105378916.0,105378917.0,,105516.0,68631.0,rs11806316-A,rs11806316,0,11806316.0,regulatory_region_variant,1.0,0.3665,5e-10,9.30102999566398,,0.0369,[0.025-0.048] unit decrease,NR [8041861] (imputed),N
363,23984,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,1p13.2,1,115210861,intergenic,LOC105378916 - LOC105378917,105378916.0,105378917.0,,105516.0,68631.0,rs11806316-A,rs11806316,0,11806316.0,regulatory_region_variant,1.0,0.3668,4e-10,9.397940008672037,,0.0337,[0.023-0.044] unit decrease,Affymetrix [at least 7947838] (imputed),N
408,23550,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",12p13.31,12,7068568,C1S,C1S,,,716,,,rs11838267-T,rs11838267,0,11838267.0,intron_variant,0.0,0.868,1e-09,9.0,,0.057999999999999996,[0.04-0.076] unit increase,Affymetrix [7947838] (imputed),N
379,23971,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,12p13.31,12,7068568,C1S,C1S,,,716,,,rs11838267-T,rs11838267,0,11838267.0,intron_variant,0.0,0.8679,6e-10,9.221848749616356,,0.0514,[0.035-0.068] unit increase,Affymetrix [at least 7947838] (imputed),N
428,44129,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,6q23.2,6,133893387,TCF21,TCF21,,,6943,,,rs12190287-?,rs12190287,0,12190287.0,3_prime_UTR_variant,0.0,NR,2e-09,8.698970004336019,,1.1111,[1.08-1.15],Illumina [575000] (imputed),N
229,4100,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",6q23.2,6,133893387,TCF21,TCF21,,,6943,,,rs12190287-C,rs12190287,0,12190287,3_prime_UTR_variant,0.0,0.62,1e-12,12.0,,1.08,[1.06-1.10],"Affymetrix, Illumina [~ 2300000] (imputed)",N
414,4103,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",10q24.32,10,102959339,"NT5C2, CNNM2, CYP17A1",CNNM2,,,54805,,,rs12413409-G,rs12413409,0,12413409,intron_variant,0.0,0.89,1e-09,9.0,,1.12,[1.08-1.16],"Affymetrix, Illumina [~ 2300000] (imputed)",N
794,4320,2011-04-11,21378988,The Coronary Artery Disease (C4D) Genetics Consortium,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378988,A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.,Coronary heart disease,"8,424 European ancestry cases, 7,268 European ancestry controls, 6,996 South Asian ancestry cases, 7,794 South Asian ancestry controls","18,049 European ancestry cases, 16,357 European ancestry controls, 3,359 South Asian ancestry cases, 2,828 South Asian ancestry controls",10q24.32,10,102959339,intergenic,CNNM2,,,54805,,,rs12413409-?,rs12413409,0,12413409,intron_variant,0.0,NR,4e-06,5.3979400086720375,,,,Illumina [574919],N
732,44142,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,10q24.32,10,102959339,"NT5C2, CNNM2, CYP17A1",CNNM2,,,54805,,,rs12413409-?,rs12413409,0,12413409.0,intron_variant,0.0,NR,1e-06,6.0,,1.1236,[1.08-1.19],Illumina [575000] (imputed),N
362,23566,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",4q21.1,4,76495474,SHROOM3,SHROOM3,,,57619,,,rs12500824-A,rs12500824,0,12500824.0,intron_variant,0.0,0.356,4e-10,9.397940008672037,,0.036000000000000004,[0.024-0.048] unit increase,Affymetrix [7947838] (imputed),N
358,23754,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",4q21.1,4,76495474,SHROOM3,SHROOM3,,,57619,,,rs12500824-A,rs12500824,0,12500824.0,intron_variant,0.0,0.3559,4e-10,9.397940008672037,,0.0359,[0.025-0.047] unit increase,NR [8041861] (imputed),N
329,23979,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,4q21.1,4,76495474,SHROOM3,SHROOM3,,,57619,,,rs12500824-A,rs12500824,0,12500824.0,intron_variant,0.0,0.3565,2e-10,9.69897000433602,,0.0336,[0.023-0.044] unit increase,Affymetrix [at least 7947838] (imputed),N
99,23733,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",2q35,2,215439661,FN1,LOC105373868 - LOC102724849,105373868.0,102724849.0,,2542.0,14046.0,rs1250229-T,rs1250229,0,1250229.0,upstream_gene_variant,1.0,0.2621,3e-19,18.522878745280334,,0.0644,[0.05-0.079] unit increase,NR [8041861] (imputed),N
203,21012,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,2q35,2,215439661,FN1,LOC105373868 - LOC102724849,105373868.0,102724849.0,,2542.0,14046.0,rs1250229-T,rs1250229,0,1250229.0,upstream_gene_variant,1.0,0.2722,2e-13,12.698970004336019,,0.0435,[0.032-0.055] unit increase,Affymetrix [at least 7947838] (imputed),N
286,23862,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",11q13.1,11,65623846,"MAP3K11, PCNXL3",PCNXL3,,,399909,,,rs12801636-A,rs12801636,0,12801636.0,intron_variant,0.0,0.2381,3e-11,10.522878745280336,,0.0441,[0.031-0.057] unit decrease,NR [8041861] (imputed),N
553,23863,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",11q13.1,11,65623846,"MAP3K11, PCNXL3",PCNXL3,,,399909,,,rs12801636-A,rs12801636,0,12801636.0,intron_variant,0.0,0.225,4e-08,7.397940008672037,,0.0418,[0.027-0.057] unit decrease,NR [8041861] (imputed),N
275,21082,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,11q13.1,11,65623846,"MAP3K11, PCNXL3",PCNXL3,,,399909,,,rs12801636-A,rs12801636,0,12801636.0,intron_variant,0.0,0.2364,2.0000000000000002e-11,10.69897000433602,,0.0403,[0.029-0.052] unit decrease,Affymetrix [at least 7947838] (imputed),N
335,23750,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",3q26.31,3,172398112,FNDC3B,FNDC3B,,,64778,,,rs12897-A,rs12897,0,12897.0,3_prime_UTR_variant,0.0,0.5863,2e-10,9.69897000433602,,0.042,[0.029-0.055] unit decrease,NR [8041861] (imputed),N
419,23993,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,3q26.31,3,172398112,FNDC3B,FNDC3B,,,64778,,,rs12897-A,rs12897,0,12897.0,3_prime_UTR_variant,0.0,0.5914,1e-09,9.0,,0.0358,[0.024-0.047] unit decrease,Affymetrix [at least 7947838] (imputed),N
411,21033,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,17p11.2,17,17640408,intergenic,PEMT - LOC105371564,10400.0,105371564.0,,48705.0,33618.0,rs12936587-A,rs12936587,0,12936587.0,intergenic_variant,1.0,0.4379,1e-09,9.0,,0.032,[0.022-0.042] unit decrease,Affymetrix [at least 7947838] (imputed),N
359,4109,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",17p11.2,17,17640408,"RASD1, SMCR3, PEMT",PEMT - LOC105371564,10400.0,105371564.0,,48705.0,33618.0,rs12936587-G,rs12936587,0,12936587,intergenic_variant,1.0,0.56,4e-10,9.397940008672037,,1.07,[1.05-1.09],"Affymetrix, Illumina [~ 2300000] (imputed)",N
626,44136,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,17p11.2,17,17640408,"RASD1, PEMT, RAI1",PEMT - LOC105371564,10400.0,105371564.0,,48705.0,33618.0,rs12936587-?,rs12936587,0,12936587.0,intergenic_variant,1.0,NR,2e-07,6.698970004336019,,1.0753,[1.04-1.11],Illumina [575000] (imputed),N
354,23909,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",17p11.2,17,17640408,intergenic,PEMT - LOC105371564,10400.0,105371564.0,,48705.0,33618.0,rs12936587-A,rs12936587,0,12936587.0,intergenic_variant,1.0,0.4335,3e-10,9.522878745280336,,0.0361,[0.025-0.047] unit decrease,NR [8041861] (imputed),N
305,23985,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,2q24.3,2,164100741,intergenic,FIGN - PRPS1P1,55137.0,100861436.0,,364586.0,112798.0,rs12999907-A,rs12999907,0,12999907.0,intron_variant,1.0,0.8189,6e-11,10.221848749616356,,0.0482,[0.034-0.063] unit increase,Affymetrix [at least 7947838] (imputed),N
273,23574,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",2q24.3,2,164100741,intergenic,FIGN - PRPS1P1,55137.0,100861436.0,,364586.0,112798.0,rs12999907-A,rs12999907,0,12999907.0,intron_variant,1.0,0.819,2.0000000000000002e-11,10.69897000433602,,0.055999999999999994,[0.04-0.072] unit increase,Affymetrix [7947838] (imputed),N
257,23992,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,13q34,13,112977466,"MCF2L, MCF2L-AS1",MCF2L,,,23263,,,rs1317507-A,rs1317507,0,1317507.0,intron_variant,0.0,0.2608,8e-12,11.096910013008056,,0.0398,[0.028-0.051] unit increase,Affymetrix [at least 7947838] (imputed),N
256,23891,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",13q34,13,112977466,"MCF2L, MCF2L-AS1",MCF2L,,,23263,,,rs1317507-A,rs1317507,0,1317507.0,intron_variant,0.0,0.2619,8e-12,11.096910013008056,,0.0434,[0.031-0.056] unit increase,NR [8041861] (imputed),N
2,23830,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",9p21.3,9,22125504,CDKN2B-AS1,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049.0,downstream_gene_variant,1.0,0.4847,1.999999999999999e-192,191.69897000433602,,0.1879,[0.18-0.2] unit increase,NR [8041861] (imputed),N
16,44124,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,9p21.3,9,22125504,CDKN2BAS,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049.0,downstream_gene_variant,1.0,NR,2.9999999999999994e-56,55.522878745280345,,1.24,[1.21-1.28],Illumina [575000] (imputed),N
98,455,2008-06-16,17634449,Samani NJ,2007-07-18,N Engl J Med,www.ncbi.nlm.nih.gov/pubmed/17634449,Genomewide association analysis of coronary artery disease.,Coronary heart disease,"1,926 European ancestry cases, 2,938 European ancestry controls","875 European ancestry cases, 1,644 European ancestry controls",9p21.3,9,22125504,intergenic,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049,downstream_gene_variant,1.0,0.47,3e-19,18.522878745280334,,1.36,[1.27-1.46],Affymetrix [377857],N
199,203,2008-06-16,17554300,WTCCC,2007-06-07,Nature,www.ncbi.nlm.nih.gov/pubmed/17554300,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.",Coronary heart disease,"1,926 European ancestry cases, 2,938 European ancestry controls",(see Samani 2007),9p21.3,9,22125504,"CDKN2A, CDKN2B",CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049,downstream_gene_variant,1.0,0.47,1e-13,13.0,,1.47,[1.27-1.70],Affymetrix [469557],N
14,4615,2011-06-04,21606135,Wild PS,2011-05-23,Circ Cardiovasc Genet,www.ncbi.nlm.nih.gov/pubmed/21606135,A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.,Coronary heart disease,"2,078 European ancestry cases, 2,953 European ancestry controls","19,350 European ancestry cases, 35,408 European ancestry controls",9p21.3,9,22125504,intergenic,CDKN2B-AS1 - DMRTA1,100048912.0,63951.0,,4407.0,321337.0,rs1333049-C,rs1333049,0,1333049,downstream_gene_variant,1.0,0.49,7e-58,57.15490195998574,,1.27,[1.23-1.31],Affymetrix [608247],N
250,32229,2016-09-12,26343387,Nikpay M,2015-09-07,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26343387,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease.,Coronary artery disease,"42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls",,10q23.31,10,89243170,LIPA,LIPA,,,3988,,,rs1412444-T,rs1412444,0,1412444.0,intron_variant,0.0,0.369131,5.0000000000000005e-12,11.301029995663981,,1.07,[1.05- 1.09],"Affymetrix, Illumina [8600000] (imputed)",N
563,4617,2011-06-04,21606135,Wild PS,2011-05-23,Circ Cardiovasc Genet,www.ncbi.nlm.nih.gov/pubmed/21606135,A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.,Coronary heart disease,"2,078 European ancestry cases, 2,953 European ancestry controls","19,350 European ancestry cases, 35,408 European ancestry controls",10q23.31,10,89243170,LIPA,LIPA,,,3988,,,rs1412444-T,rs1412444,0,1412444,intron_variant,0.0,0.32,4e-08,7.397940008672037,,1.1,[1.07-1.14],Affymetrix [608247],N
87,23658,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",10q23.31,10,89243170,LIPA,LIPA,,,3988,,,rs1412444-T,rs1412444,0,1412444.0,intron_variant,0.0,0.355,3e-22,21.522878745280337,,0.064,[0.05-0.078] unit increase,Affymetrix [7947838] (imputed),N
206,4118,2011-04-11,21378988,The Coronary Artery Disease (C4D) Genetics Consortium,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378988,A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.,Coronary heart disease,"8,424 European ancestry cases, 7,268 European ancestry controls, 6,996 South Asian ancestry cases, 7,794 South Asian ancestry controls","18,049 European ancestry cases, 16,357 European ancestry controls, 3,359 South Asian ancestry cases, 2,828 South Asian ancestry controls",10q23.31,10,89243170,LIPA,LIPA,,,3988,,,rs1412444-T,rs1412444,0,1412444,intron_variant,0.0,0.42,3e-13,12.522878745280336,,1.09,[1.07-1.12],Illumina [574919],N
89,21048,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,10q23.31,10,89243170,LIPA,LIPA,,,3988,,,rs1412444-T,rs1412444,0,1412444.0,intron_variant,0.0,0.3527,2.0000000000000002e-21,20.69897000433602,,0.0559,[0.044-0.067] unit increase,Affymetrix [at least 7947838] (imputed),N
36,23688,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",6q25.3,6,160490564,LPAL2,LPAL2,,,80350,,,rs147555597-A,rs147555597,0,147555597.0,intron_variant,0.0,0.009,3e-31,30.522878745280337,,0.39799999999999996,[0.33-0.46] unit increase,Affymetrix [7947838] (imputed),N
37,23800,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6q25.3,6,160490564,LPAL2,LPAL2,,,80350,,,rs147555597-A,rs147555597,0,147555597.0,intron_variant,0.0,0.0088,3e-31,30.522878745280337,,0.3977,[0.33-0.46] unit increase,NR [8041861] (imputed),N
